,title,description,keywords,source,,,
general,,,,https://sis.agr.gc.ca/cansis/nsdb/soil/v2/snt/pmchem1.html,,,
en,Parent material chemical property,TThe chemical composition class of the parent material.,,,,,
fr,Propriété chimique du matériau parental,La classe de composition chimique du matériau parental.,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Code,Class_en,Description_fr,Class_fr,Description_fr,,,
UD,Undifferentiated,Undifferentiated acidity and/or calcareousness,Indifférencié,Acidité et/ou calcarité indifférenciée,,,
EA,Extremely / Strongly Acidic,pH < 5.6,Extrêmement / fortement acide,"pH < 5,6",,,
AN,Medium Acid to Neutral,pH 5.6 - 7.4,Acide moyen à neutre,"pH 5,6 – 7,4",,,
WC,Weakly Calcareous,< 6 CaCO3 equivalent (%),Faiblement calcaire,< 6 % équivalent CaCO₃,,,
VC,Moderately / Very Strongly Calcareous,6 - 40 CaCO3 equivalent (%),Modérément / très fortement calcaire,6 – 40 % équivalent CaCO₃,,,
EC,Extremely Calcareous,> 40 CaCO3 equivalent (%),Extrêmement calcaire,> 40 % équivalent CaCO₃,,,
SA,Calcareous and Saline,Calcareous and Saline,Calcaire et salin,Calcaire et salin,,,
-,Not Applicable,Not Applicable,Sans objet,Sans objet,,,
,,,,,,,
